inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015,v0016,v0017,v0018,v0019,v0020,v0021,v0022,v0023,v0024,v0025,v0026,v0027,v0028,v0029,v0030,v0031,v0032,v0033,v0034,v0035,v0036,v0037,v0038,v0039,v0040,v0041,v0042,v0043,v0044,v0045,v0046,v0047,v0048,v0049,v0050,v0051,v0052,v0053,v0054,v0055,v0056,v0057,v0058,v0059,v0060,v0061,v0062,v0063,v0064,v0065,v0066,v0067,v0068,v0069,v0070,v0071,v0072,v0073,v0074,v0075,v0076,v0077,v0078,v0079,v0080,v0081,v0082,v0083,v0084,v0085,v0086,v0087,v0088,v0089,v0090,v0091,v0092,v0093,v0094,v0095,v0096,v0097,v0098,v0099,v0100,v0101,v0102,v0103,v0104,v0105,v0106,v0107,v0108,v0109,v0110,v0111,v0112,v0113,v0114,v0115,v0116,v0117,v0118,v0119,v0120,v0121,v0122,v0123,v0124,v0125,v0126,v0127,v0128,v0129,v0130,v0131,v0132,v0133,v0134,v0135,v0136,v0137,v0138,v0139,v0140,v0141,v0142,v0143,v0144,v0145,v0146,v0147,v0148,v0149,v0150,v0151,v0152,v0153,v0154,v0155,v0156,v0157,v0158,v0159,v0160,v0161,v0162,v0163,v0164,v0165,v0166,v0167,v0168,v0169,v0170,v0171,v0172,v0173,v0174,v0175,v0176,v0177,v0178,v0179,v0180,v0181,v0182,v0183,v0184,v0185,v0186,v0187,v0188,v0189,v0190,v0191,v0192,v0193,v0194,v0195,v0196,v0197,v0198,v0199,v0200,v0201,v0202,v0203,v0204,v0205,v0206,v0207,v0208,v0209,v0210,v0211,v0212,v0213,v0214,v0215,v0216
1,10.440000,0.013138,-0.077637,0.008114,-0.023644,-0.060341,0.008249,-0.002842,-0.051847,0.020917,-0.086257,0.006447,-0.996252,-0.091611,0.007316,-0.995768,-0.096208,0.008303,-0.995327,-0.000000,-0.000000,-0.000000,0.089858,-0.060662,0.073192,-0.130999,0.332584,0.322998,0.251406,0.422263,-0.551429,-0.563241,-0.720490,-0.673668,0.092574,-0.061474,0.077991,-0.130309,0.341008,0.331742,0.261243,0.427130,-0.556491,-0.565140,-0.730804,-0.692779,0.093844,-0.063785,0.082864,-0.129470,0.349488,0.338841,0.269242,0.427291,-0.564290,-0.568819,-0.746565,-0.705780,0.004504,-0.003110,0.011938,0.008103,0.022408,0.032583,0.026048,0.005092,-0.011823,-0.020598,-0.042083,-0.020920,0.294147,0.307907,0.370013,0.413337,0.002450,-0.000755,0.014152,0.001199,0.011613,0.020214,0.024170,0.010560,0.000263,-0.011241,-0.035785,-0.050999,0.283072,0.322416,0.361554,0.430207,0.002074,-0.010910,0.010349,-0.001354,0.024063,0.004212,0.017192,0.002449,-0.027039,0.025608,-0.038398,-0.040432,0.296032,0.341427,0.352014,0.433972,-0.017395,1.559147,-0.767499,-0.643463,1.005417,-1.561152,0.941064,1.469840,-1.555758,-0.552021,1.934921,-1.265741,1.794414,1.277409,2.112832,2.230460,-0.009550,1.639615,-0.686858,-0.590101,1.112903,-1.593942,1.010558,1.510853,-1.416910,-0.730855,2.039131,-1.089804,1.849815,1.289053,2.102597,2.213395,-0.007490,1.757074,-0.607468,-0.601150,1.149197,-1.575219,1.087689,1.617395,-1.327532,-0.891348,2.106862,-0.948522,2.006803,1.349155,2.180176,2.228385,-0.069937,-0.813874,-0.096501,0.195816,-0.751320,-0.095654,3.463951,-0.138617,-0.334968,-0.168504,0.362170,-0.460254,-0.996445,-0.552497,-0.530517,-0.139877,-0.098897,-0.996232,-0.795562,0.117772,-0.915926,0.070310,-0.541121,-0.484544,0.065967,0.063998,0.029752,-0.052436,0.093188,0.069750,-0.060516,-0.817399,0.078601,-0.086903,-0.977609,-0.983835,0.135383,-0.079635,-0.047899,0.119249,0.060311,-0.384561,-0.946301,-0.102326,-0.837446,-0.067085,-0.817016,-0.785481,0.073435,-0.993603,-0.087876,-0.849924,-0.026196,-0.021473,-0.829329,-0.027055,-0.771873,-0.120626,0.051883,-0.076550,0.031976,-0.160073,-0.063197,-0.020811
2,10.460000,-0.023644,-0.060341,0.008249,-0.002842,-0.051847,0.020917,-0.007027,-0.057090,0.038184,-0.091611,0.007316,-0.995768,-0.096208,0.008303,-0.995327,-0.100495,0.009875,-0.994889,-0.000000,-0.000000,-0.000000,0.092574,-0.061474,0.077991,-0.130309,0.341008,0.331742,0.261243,0.427130,-0.556491,-0.565140,-0.730804,-0.692779,0.093844,-0.063785,0.082864,-0.129470,0.349488,0.338841,0.269242,0.427291,-0.564290,-0.568819,-0.746565,-0.705780,0.093444,-0.067076,0.086814,-0.129095,0.356319,0.343319,0.276962,0.426370,-0.571122,-0.572191,-0.755531,-0.717960,0.002450,-0.000755,0.014152,0.001199,0.011613,0.020214,0.024170,0.010560,0.000263,-0.011241,-0.035785,-0.050999,0.283072,0.322416,0.361554,0.430207,0.002074,-0.010910,0.010349,-0.001354,0.024063,0.004212,0.017192,0.002449,-0.027039,0.025608,-0.038398,-0.040432,0.296032,0.341427,0.352014,0.433972,-0.002724,-0.011025,0.010520,0.006022,0.019932,0.011767,0.017892,-0.013061,-0.023259,-0.014998,-0.036569,-0.000288,0.291405,0.356076,0.346448,0.428709,-0.009550,1.639615,-0.686858,-0.590101,1.112903,-1.593942,1.010558,1.510853,-1.416910,-0.730855,2.039131,-1.089804,1.849815,1.289053,2.102597,2.213395,-0.007490,1.757074,-0.607468,-0.601150,1.149197,-1.575219,1.087689,1.617395,-1.327532,-0.891348,2.106862,-0.948522,2.006803,1.349155,2.180176,2.228385,0.037933,1.777078,-0.643392,-0.624928,1.163919,-1.568700,1.123356,1.676878,-1.246884,-0.949770,2.161319,-0.929879,2.150742,1.315817,2.180237,2.236592,-0.038499,-0.757421,-0.068912,0.168875,-0.802651,-0.128176,3.255417,-0.109161,-0.359659,-0.088256,0.209785,-0.461233,-0.994413,-0.644666,-0.511529,-0.135731,-0.066919,-0.996525,-0.851822,-0.126625,-0.915636,0.074864,-0.526629,-0.459877,0.101598,0.020627,0.069241,-0.033342,0.056657,0.128184,-0.088269,-0.818697,0.012677,-0.051321,-0.977577,-0.983512,0.283327,-0.068841,-0.013644,0.182930,0.103717,-0.360660,-0.945455,-0.140302,-0.818640,-0.099810,-0.828803,-0.779326,0.061340,-0.995372,-0.123877,-0.847562,-0.006250,-0.088804,-0.847404,-0.126263,-0.760702,-0.134017,0.009855,-0.079000,-0.038537,-0.118339,-0.062654,-0.025604
3,10.480000,-0.002842,-0.051847,0.020917,-0.007027,-0.057090,0.038184,-0.036288,-0.036777,0.024879,-0.096208,0.008303,-0.995327,-0.100495,0.009875,-0.994889,-0.103945,0.011536,-0.994516,-0.000000,-0.000000,-0.000000,0.093844,-0.063785,0.082864,-0.129470,0.349488,0.338841,0.269242,0.427291,-0.564290,-0.568819,-0.746565,-0.705780,0.093444,-0.067076,0.086814,-0.129095,0.356319,0.343319,0.276962,0.426370,-0.571122,-0.572191,-0.755531,-0.717960,0.093008,-0.070844,0.090052,-0.129598,0.363137,0.344232,0.282147,0.425370,-0.579013,-0.571939,-0.765353,-0.729316,0.002074,-0.010910,0.010349,-0.001354,0.024063,0.004212,0.017192,0.002449,-0.027039,0.025608,-0.038398,-0.040432,0.296032,0.341427,0.352014,0.433972,-0.002724,-0.011025,0.010520,0.006022,0.019932,0.011767,0.017892,-0.013061,-0.023259,-0.014998,-0.036569,-0.000288,0.291405,0.356076,0.346448,0.428709,-0.002188,-0.006087,0.004108,-0.001496,0.008315,0.002967,0.015059,-0.000973,-0.002499,-0.007764,0.006294,-0.030970,0.281041,0.359036,0.370563,0.403036,-0.007490,1.757074,-0.607468,-0.601150,1.149197,-1.575219,1.087689,1.617395,-1.327532,-0.891348,2.106862,-0.948522,2.006803,1.349155,2.180176,2.228385,0.037933,1.777078,-0.643392,-0.624928,1.163919,-1.568700,1.123356,1.676878,-1.246884,-0.949770,2.161319,-0.929879,2.150742,1.315817,2.180237,2.236592,0.051472,1.780245,-0.871372,-0.532580,1.277359,-1.527646,1.098761,1.662869,-1.157127,-1.080816,2.243980,-0.915977,2.067131,1.337125,1.860082,2.401694,-0.030849,-0.829108,-0.047228,0.126333,-0.809568,-0.144277,3.261463,-0.172304,-0.367967,-0.163732,0.283428,-0.496947,-0.995219,-0.659795,-0.482802,-0.086470,-0.133024,-0.996486,-0.899587,-0.147011,-0.926919,0.139419,-0.535868,-0.428248,0.091582,0.008566,0.081288,0.015572,0.050545,0.092571,-0.069306,-0.831497,-0.013380,-0.022816,-0.976272,-0.984796,0.316817,-0.039207,0.013005,0.290938,0.082570,-0.353835,-0.951610,-0.132420,-0.888378,-0.141322,-0.849336,-0.808924,0.057996,-0.995168,-0.304285,-0.828930,0.000083,-0.084124,-0.850810,-0.094393,-0.749378,-0.258289,0.027657,-0.077978,-0.022890,-0.127960,-0.043691,-0.007708
4,10.500000,-0.007027,-0.057090,0.038184,-0.036288,-0.036777,0.024879,0.005995,-0.028361,0.020357,-0.100495,0.009875,-0.994889,-0.103945,0.011536,-0.994516,-0.106528,0.012111,-0.994236,-0.000000,-0.000000,-0.000000,0.093444,-0.067076,0.086814,-0.129095,0.356319,0.343319,0.276962,0.426370,-0.571122,-0.572191,-0.755531,-0.717960,0.093008,-0.070844,0.090052,-0.129598,0.363137,0.344232,0.282147,0.425370,-0.579013,-0.571939,-0.765353,-0.729316,0.091612,-0.075459,0.091420,-0.131259,0.370330,0.344623,0.285647,0.423788,-0.588142,-0.572520,-0.776351,-0.734987,-0.002724,-0.011025,0.010520,0.006022,0.019932,0.011767,0.017892,-0.013061,-0.023259,-0.014998,-0.036569,-0.000288,0.291405,0.356076,0.346448,0.428709,-0.002188,-0.006087,0.004108,-0.001496,0.008315,0.002967,0.015059,-0.000973,-0.002499,-0.007764,0.006294,-0.030970,0.281041,0.359036,0.370563,0.403036,-0.003752,-0.012626,0.001563,-0.008820,0.021075,-0.000782,0.003503,0.001785,-0.028788,0.001023,-0.029813,-0.023823,0.290003,0.359901,0.367255,0.370605,0.037933,1.777078,-0.643392,-0.624928,1.163919,-1.568700,1.123356,1.676878,-1.246884,-0.949770,2.161319,-0.929879,2.150742,1.315817,2.180237,2.236592,0.051472,1.780245,-0.871372,-0.532580,1.277359,-1.527646,1.098761,1.662869,-1.157127,-1.080816,2.243980,-0.915977,2.067131,1.337125,1.860082,2.401694,0.028303,1.825783,-0.975791,-0.554287,1.273121,-1.459049,1.052985,1.689030,-1.289629,-1.081860,2.214817,-0.977761,2.055200,1.366488,1.732840,2.464131,-0.027679,-0.754798,-0.020980,0.193527,-0.804426,-0.103755,2.789223,-0.156653,-0.383589,-0.293336,0.314457,-0.452389,-0.995858,-0.669365,-0.494678,-0.114825,-0.149397,-0.996784,-0.845506,-0.128556,-0.927688,0.114565,-0.553920,-0.439046,0.077082,0.042527,0.046641,0.025937,0.006947,0.078615,-0.005160,-0.789617,0.051206,-0.025322,-0.978704,-0.984718,0.268568,-0.002694,-0.065117,0.165699,0.085395,-0.318036,-0.948483,-0.076459,-0.858585,-0.122612,-0.889663,-0.810723,0.059300,-0.996243,-0.210568,-0.861783,-0.025116,-0.041014,-0.855463,0.001080,-0.745689,-0.191231,0.011560,-0.087834,0.163593,-0.130394,-0.017813,0.005553
5,10.520000,-0.036288,-0.036777,0.024879,0.005995,-0.028361,0.020357,0.019028,-0.022734,0.018432,-0.103945,0.011536,-0.994516,-0.106528,0.012111,-0.994236,-0.108329,0.011931,-0.994043,-0.000000,-0.000000,-0.000000,0.093008,-0.070844,0.090052,-0.129598,0.363137,0.344232,0.282147,0.425370,-0.579013,-0.571939,-0.765353,-0.729316,0.091612,-0.075459,0.091420,-0.131259,0.370330,0.344623,0.285647,0.423788,-0.588142,-0.572520,-0.776351,-0.734987,0.089462,-0.080293,0.091386,-0.134635,0.376002,0.344125,0.286902,0.423498,-0.594708,-0.574185,-0.781918,-0.741571,-0.002188,-0.006087,0.004108,-0.001496,0.008315,0.002967,0.015059,-0.000973,-0.002499,-0.007764,0.006294,-0.030970,0.281041,0.359036,0.370563,0.403036,-0.003752,-0.012626,0.001563,-0.008820,0.021075,-0.000782,0.003503,0.001785,-0.028788,0.001023,-0.029813,-0.023823,0.290003,0.359901,0.367255,0.370605,-0.007011,-0.013505,-0.002046,-0.004023,0.018316,-0.004834,0.003929,-0.010016,-0.023498,0.017523,-0.009607,0.012759,0.287831,0.377414,0.374031,0.354229,0.051472,1.780245,-0.871372,-0.532580,1.277359,-1.527646,1.098761,1.662869,-1.157127,-1.080816,2.243980,-0.915977,2.067131,1.337125,1.860082,2.401694,0.028303,1.825783,-0.975791,-0.554287,1.273121,-1.459049,1.052985,1.689030,-1.289629,-1.081860,2.214817,-0.977761,2.055200,1.366488,1.732840,2.464131,0.002553,1.882681,-0.945311,-0.548966,1.303322,-1.501966,1.081638,1.724827,-1.260855,-1.121345,2.301062,-0.781371,2.227500,1.374830,1.794793,2.479017,-0.050366,-0.796940,-0.139716,0.171097,-0.847571,-0.145052,2.798191,-0.100431,-0.317725,-0.333672,0.259085,-0.480425,-0.995326,-0.687915,-0.510828,-0.116031,-0.152714,-0.997262,-0.792366,-0.068779,-0.925589,0.187898,-0.515750,-0.445466,0.099076,-0.012864,-0.011268,-0.034277,0.025563,0.048008,-0.042480,-0.800992,0.008542,0.000708,-0.977062,-0.987272,0.116738,0.006747,-0.034412,0.171887,0.057460,-0.370800,-0.944604,-0.035762,-0.875246,-0.134887,-0.861341,-0.807928,0.067179,-0.995903,-0.242875,-0.847551,-0.028187,-0.077702,-0.880644,-0.070112,-0.753954,-0.231603,0.015469,-0.110416,0.294089,-0.136917,-0.022763,0.001187
6,10.540000,0.005995,-0.028361,0.020357,0.019028,-0.022734,0.018432,0.005723,-0.013950,0.009950,-0.106528,0.012111,-0.994236,-0.108329,0.011931,-0.994043,-0.109660,0.011262,-0.993905,-0.000000,-0.000000,-0.000000,0.091612,-0.075459,0.091420,-0.131259,0.370330,0.344623,0.285647,0.423788,-0.588142,-0.572520,-0.776351,-0.734987,0.089462,-0.080293,0.091386,-0.134635,0.376002,0.344125,0.286902,0.423498,-0.594708,-0.574185,-0.781918,-0.741571,0.087094,-0.085442,0.091448,-0.138788,0.381148,0.343602,0.287085,0.423213,-0.600982,-0.579419,-0.792186,-0.748313,-0.003752,-0.012626,0.001563,-0.008820,0.021075,-0.000782,0.003503,0.001785,-0.028788,0.001023,-0.029813,-0.023823,0.290003,0.359901,0.367255,0.370605,-0.007011,-0.013505,-0.002046,-0.004023,0.018316,-0.004834,0.003929,-0.010016,-0.023498,0.017523,-0.009607,0.012759,0.287831,0.377414,0.374031,0.354229,-0.005271,-0.012221,0.000691,-0.011556,0.013117,-0.001249,-0.000472,0.000499,-0.015831,-0.020701,-0.028756,-0.022194,0.286234,0.377555,0.370563,0.356265,0.028303,1.825783,-0.975791,-0.554287,1.273121,-1.459049,1.052985,1.689030,-1.289629,-1.081860,2.214817,-0.977761,2.055200,1.366488,1.732840,2.464131,0.002553,1.882681,-0.945311,-0.548966,1.303322,-1.501966,1.081638,1.724827,-1.260855,-1.121345,2.301062,-0.781371,2.227500,1.374830,1.794793,2.479017,-0.030667,1.834182,-1.061624,-0.512092,1.315678,-1.605552,0.982611,1.704534,-1.403219,-1.041597,2.294734,-0.877034,2.255355,1.349841,1.780192,2.470229,-0.013915,-0.763178,-0.084125,0.161195,-0.882817,-0.117605,3.274743,-0.101554,-0.357524,-0.405931,0.261785,-0.506589,-0.996725,-0.659329,-0.504118,-0.100183,-0.151258,-0.998048,-0.802919,-0.119261,-0.925195,0.146267,-0.510981,-0.454112,0.121760,0.013964,0.025522,0.006515,0.046909,0.056967,-0.026903,-0.801113,0.020232,-0.006240,-0.977040,-0.983571,0.310492,0.031667,-0.018414,0.089040,0.043511,-0.365617,-0.941207,0.026669,-0.871290,-0.146058,-0.866781,-0.800934,0.109106,-0.996253,-0.177349,-0.847854,-0.035139,-0.045458,-0.846965,-0.129268,-0.757209,-0.191204,0.077409,-0.079352,0.316658,-0.117831,0.000032,0.076398
7,10.560000,0.019028,-0.022734,0.018432,0.005723,-0.013950,0.009950,0.021892,-0.016016,0.011943,-0.108329,0.011931,-0.994043,-0.109660,0.011262,-0.993905,-0.110704,0.010294,-0.993800,-0.000000,-0.000000,-0.000000,0.089462,-0.080293,0.091386,-0.134635,0.376002,0.344125,0.286902,0.423498,-0.594708,-0.574185,-0.781918,-0.741571,0.087094,-0.085442,0.091448,-0.138788,0.381148,0.343602,0.287085,0.423213,-0.600982,-0.579419,-0.792186,-0.748313,0.085608,-0.090190,0.091279,-0.142252,0.388127,0.341691,0.287645,0.421713,-0.610629,-0.582228,-0.794610,-0.751909,-0.007011,-0.013505,-0.002046,-0.004023,0.018316,-0.004834,0.003929,-0.010016,-0.023498,0.017523,-0.009607,0.012759,0.287831,0.377414,0.374031,0.354229,-0.005271,-0.012221,0.000691,-0.011556,0.013117,-0.001249,-0.000472,0.000499,-0.015831,-0.020701,-0.028756,-0.022194,0.286234,0.377555,0.370563,0.356265,-0.004974,-0.014267,-0.000269,-0.007904,0.017117,-0.001953,0.001084,-0.006092,-0.024487,-0.018704,-0.017796,-0.001654,0.295191,0.386349,0.373097,0.357037,0.002553,1.882681,-0.945311,-0.548966,1.303322,-1.501966,1.081638,1.724827,-1.260855,-1.121345,2.301062,-0.781371,2.227500,1.374830,1.794793,2.479017,-0.030667,1.834182,-1.061624,-0.512092,1.315678,-1.605552,0.982611,1.704534,-1.403219,-1.041597,2.294734,-0.877034,2.255355,1.349841,1.780192,2.470229,-0.055505,1.924006,-0.978221,-0.523850,1.370678,-1.554011,1.098417,1.764036,-1.317444,-1.167828,2.392409,-0.590014,2.346185,1.411365,1.877652,2.514566,-0.073481,-0.748931,-0.066381,0.166754,-0.856638,-0.108272,3.082863,-0.102509,-0.336961,-0.326177,0.230821,-0.464998,-0.997168,-0.671757,-0.501473,-0.108809,-0.150759,-0.998177,-0.758845,0.005083,-0.924863,0.192755,-0.514962,-0.439648,0.054563,0.030567,-0.033696,-0.042591,0.037863,0.031821,-0.009438,-0.806552,0.032436,0.018560,-0.979826,-0.988836,0.325073,0.016192,-0.063564,0.113728,0.094803,-0.348369,-0.962904,-0.041333,-0.866893,-0.137089,-0.870642,-0.798536,0.123767,-0.996780,-0.153824,-0.854356,-0.019288,-0.070231,-0.868298,-0.058352,-0.767510,-0.213000,0.005745,-0.137250,0.261502,-0.130483,-0.025968,0.032508
8,10.580000,0.005723,-0.013950,0.009950,0.021892,-0.016016,0.011943,0.021090,-0.005207,0.008043,-0.109660,0.011262,-0.993905,-0.110704,0.010294,-0.993800,-0.111254,0.008763,-0.993753,-0.000000,-0.000000,-0.000000,0.087094,-0.085442,0.091448,-0.138788,0.381148,0.343602,0.287085,0.423213,-0.600982,-0.579419,-0.792186,-0.748313,0.085608,-0.090190,0.091279,-0.142252,0.388127,0.341691,0.287645,0.421713,-0.610629,-0.582228,-0.794610,-0.751909,0.083346,-0.095085,0.091442,-0.146903,0.391608,0.339859,0.287139,0.421289,-0.614915,-0.585116,-0.803925,-0.759819,-0.005271,-0.012221,0.000691,-0.011556,0.013117,-0.001249,-0.000472,0.000499,-0.015831,-0.020701,-0.028756,-0.022194,0.286234,0.377555,0.370563,0.356265,-0.004974,-0.014267,-0.000269,-0.007904,0.017117,-0.001953,0.001084,-0.006092,-0.024487,-0.018704,-0.017796,-0.001654,0.295191,0.386349,0.373097,0.357037,-0.004506,-0.012787,0.000263,-0.012187,0.012094,-0.004337,-0.002700,-0.000742,-0.017025,-0.017482,-0.019968,-0.022204,0.295216,0.391841,0.362668,0.359808,-0.030667,1.834182,-1.061624,-0.512092,1.315678,-1.605552,0.982611,1.704534,-1.403219,-1.041597,2.294734,-0.877034,2.255355,1.349841,1.780192,2.470229,-0.055505,1.924006,-0.978221,-0.523850,1.370678,-1.554011,1.098417,1.764036,-1.317444,-1.167828,2.392409,-0.590014,2.346185,1.411365,1.877652,2.514566,-0.066670,1.945878,-1.006012,-0.504593,1.382863,-1.594059,1.101461,1.770822,-1.314027,-1.231941,2.404724,-0.557264,2.381038,1.399066,1.886543,2.448004,-0.109426,-0.725705,-0.118996,0.189447,-0.849039,-0.147630,3.189928,-0.051286,-0.354520,-0.308481,0.243440,-0.531335,-0.995512,-0.623561,-0.521340,-0.137973,-0.169312,-0.997644,-0.760283,-0.194139,-0.924567,0.199555,-0.493488,-0.439788,0.139619,0.019562,-0.025238,-0.009269,0.046460,0.039702,-0.084598,-0.782325,0.040010,-0.001895,-0.977358,-0.984017,0.202565,0.011367,0.000406,0.030821,0.101486,-0.308355,-0.946383,-0.056824,-0.847388,-0.112222,-0.880730,-0.788217,0.091851,-0.996834,-0.074582,-0.851911,-0.041481,-0.084391,-0.863192,-0.057016,-0.778697,-0.246314,-0.009003,-0.058601,0.352205,-0.089632,-0.034154,0.038325
9,10.600000,0.021892,-0.016016,0.011943,0.021090,-0.005207,0.008043,0.024517,-0.001265,0.010826,-0.110704,0.010294,-0.993800,-0.111254,0.008763,-0.993753,-0.111584,0.006907,-0.993731,-0.000000,-0.000000,-0.000000,0.085608,-0.090190,0.091279,-0.142252,0.388127,0.341691,0.287645,0.421713,-0.610629,-0.582228,-0.794610,-0.751909,0.083346,-0.095085,0.091442,-0.146903,0.391608,0.339859,0.287139,0.421289,-0.614915,-0.585116,-0.803925,-0.759819,0.081179,-0.099839,0.091536,-0.149631,0.395197,0.337408,0.287558,0.419532,-0.618922,-0.586744,-0.802311,-0.762200,-0.004974,-0.014267,-0.000269,-0.007904,0.017117,-0.001953,0.001084,-0.006092,-0.024487,-0.018704,-0.017796,-0.001654,0.295191,0.386349,0.373097,0.357037,-0.004506,-0.012787,0.000263,-0.012187,0.012094,-0.004337,-0.002700,-0.000742,-0.017025,-0.017482,-0.019968,-0.022204,0.295216,0.391841,0.362668,0.359808,-0.005565,-0.012662,0.001407,-0.008653,0.008448,-0.007677,-0.001479,-0.001516,-0.008678,-0.012255,-0.011608,-0.015509,0.290073,0.400445,0.358066,0.361451,-0.055505,1.924006,-0.978221,-0.523850,1.370678,-1.554011,1.098417,1.764036,-1.317444,-1.167828,2.392409,-0.590014,2.346185,1.411365,1.877652,2.514566,-0.066670,1.945878,-1.006012,-0.504593,1.382863,-1.594059,1.101461,1.770822,-1.314027,-1.231941,2.404724,-0.557264,2.381038,1.399066,1.886543,2.448004,-0.056088,1.986348,-0.942749,-0.526571,1.385957,-1.605768,1.148098,1.805289,-1.271267,-1.284250,2.425139,-0.461253,2.435257,1.369547,1.948364,2.400076,-0.074679,-0.734961,-0.139371,0.204794,-0.883121,-0.131754,3.469951,-0.042397,-0.353986,-0.268505,0.199807,-0.520728,-0.995225,-0.629552,-0.527169,-0.106819,-0.143798,-0.997228,-0.729276,-0.202670,-0.928959,0.149827,-0.520533,-0.429747,0.132548,0.024090,0.028423,0.024991,0.042583,0.041963,-0.083722,-0.771998,0.010804,0.014942,-0.977079,-0.983037,0.299032,0.002034,0.012290,0.055112,0.068195,-0.288519,-0.948708,-0.064290,-0.841654,-0.125576,-0.870375,-0.789783,0.049318,-0.996327,-0.099777,-0.834603,-0.056880,-0.071565,-0.880657,-0.107877,-0.775950,-0.257592,0.001115,-0.064841,0.469568,-0.105569,-0.015216,0.074595
10,10.620000,0.021090,-0.005207,0.008043,0.024517,-0.001265,0.010826,0.030835,-0.001979,0.012810,-0.111254,0.008763,-0.993753,-0.111584,0.006907,-0.993731,-0.111628,0.004566,-0.993740,-0.000000,-0.000000,-0.000000,0.083346,-0.095085,0.091442,-0.146903,0.391608,0.339859,0.287139,0.421289,-0.614915,-0.585116,-0.803925,-0.759819,0.081179,-0.099839,0.091536,-0.149631,0.395197,0.337408,0.287558,0.419532,-0.618922,-0.586744,-0.802311,-0.762200,0.079504,-0.104557,0.091983,-0.153637,0.399874,0.334160,0.287157,0.418842,-0.624892,-0.587552,-0.808078,-0.768927,-0.004506,-0.012787,0.000263,-0.012187,0.012094,-0.004337,-0.002700,-0.000742,-0.017025,-0.017482,-0.019968,-0.022204,0.295216,0.391841,0.362668,0.359808,-0.005565,-0.012662,0.001407,-0.008653,0.008448,-0.007677,-0.001479,-0.001516,-0.008678,-0.012255,-0.011608,-0.015509,0.290073,0.400445,0.358066,0.361451,-0.003524,-0.012064,0.001102,-0.009639,0.011952,-0.006825,-0.000906,-0.001724,-0.014935,-0.009791,-0.012537,-0.016132,0.295389,0.406477,0.349866,0.362847,-0.066670,1.945878,-1.006012,-0.504593,1.382863,-1.594059,1.101461,1.770822,-1.314027,-1.231941,2.404724,-0.557264,2.381038,1.399066,1.886543,2.448004,-0.056088,1.986348,-0.942749,-0.526571,1.385957,-1.605768,1.148098,1.805289,-1.271267,-1.284250,2.425139,-0.461253,2.435257,1.369547,1.948364,2.400076,-0.050828,1.994046,-0.942542,-0.531485,1.406718,-1.592491,1.141750,1.813704,-1.268579,-1.307233,2.440056,-0.489593,2.464555,1.402722,1.938633,2.421686,-0.074679,-0.734961,-0.139371,0.204794,-0.883121,-0.131754,3.469951,-0.042397,-0.353986,-0.268505,0.199807,-0.520728,-0.995225,-0.629552,-0.527169,-0.106819,-0.143798,-0.997228,-0.729276,-0.202670,-0.928959,0.149827,-0.520533,-0.429747,0.132548,0.024090,0.028423,0.024991,0.042583,0.041963,-0.083722,-0.771998,0.010804,0.014942,-0.977079,-0.983037,0.299032,0.002034,0.012290,0.055112,0.068195,-0.288519,-0.948708,-0.064290,-0.841654,-0.125576,-0.870375,-0.789783,0.049318,-0.996327,-0.099777,-0.834603,-0.056880,-0.071565,-0.880657,-0.107877,-0.775950,-0.257592,0.001115,-0.064841,0.469568,-0.105569,-0.015216,0.074595
