inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015,v0016,v0017,v0018,v0019,v0020,v0021,v0022,v0023,v0024,v0025,v0026,v0027,v0028,v0029,v0030,v0031,v0032,v0033,v0034,v0035,v0036,v0037,v0038,v0039,v0040,v0041,v0042,v0043,v0044,v0045,v0046,v0047,v0048,v0049,v0050,v0051,v0052,v0053,v0054,v0055,v0056,v0057,v0058,v0059,v0060,v0061,v0062,v0063,v0064,v0065,v0066,v0067,v0068,v0069,v0070,v0071,v0072,v0073,v0074,v0075,v0076,v0077,v0078,v0079,v0080,v0081,v0082,v0083,v0084,v0085,v0086,v0087,v0088,v0089,v0090,v0091,v0092,v0093,v0094,v0095,v0096,v0097,v0098,v0099,v0100,v0101,v0102,v0103,v0104,v0105,v0106,v0107,v0108,v0109,v0110,v0111,v0112,v0113,v0114,v0115,v0116,v0117,v0118,v0119,v0120,v0121,v0122,v0123,v0124,v0125,v0126,v0127
1,10.440000,0.017003,-0.009275,-0.280022,0.042047,0.017740,0.012500,-0.283462,-0.426824,0.437201,-0.146228,-0.013121,-0.022968,0.001195,0.177768,0.065312,0.000525,-0.029391,-0.375057,0.302238,0.059992,0.114870,0.000324,-0.288070,-0.041447,-0.144431,0.108727,0.278442,-0.001554,0.225296,-0.185863,0.042782,-0.091035,-0.277060,-0.024762,0.226039,-0.003200,-0.029225,0.301750,-0.067452,-0.078828,-0.593221,-0.367138,0.286469,0.015401,0.325002,-0.296932,0.190903,-0.189743,-0.240273,-0.425863,-0.357432,-0.105836,0.150024,0.003694,0.353760,0.335111,-0.302579,-0.019130,0.310062,-0.076361,-0.391676,0.304831,0.180815,0.003033,0.319008,-0.003239,0.080788,0.017173,0.022495,0.180741,0.304579,0.318605,0.021722,-0.190686,-0.014568,0.188114,0.008851,0.328686,0.296732,-0.045574,0.271605,0.295576,0.259203,-0.105523,0.418712,-0.194975,-0.062276,-0.256176,0.117858,-0.007947,-0.046291,-0.016109,-0.066832,0.018173,0.023252,0.241089,-0.101458,-0.243317,0.023520,0.206979,-0.359047,0.302295,-0.263305,0.122437,0.210752,-0.095456,0.177644,-0.011844,0.035835,0.005794,0.202164,-0.337832,-0.115729,0.000833,0.138141,-0.000223,-0.343809,0.264487,0.000417,-0.064185,0.019899,-0.263267,-0.069795,0.069216,0.005701,0.046186,0.141417,-0.003293
2,10.460000,0.017566,-0.010524,-0.265987,0.048622,0.018426,0.012890,-0.288130,-0.430187,0.434058,-0.151805,-0.013794,-0.022033,0.002107,0.183344,0.063078,0.000095,-0.034609,-0.370380,0.303353,0.058786,0.112784,0.000275,-0.288064,-0.040157,-0.139308,0.111904,0.273386,-0.001745,0.234202,-0.188037,0.042448,-0.093743,-0.276928,-0.026133,0.232522,-0.002840,-0.028160,0.302370,-0.062008,-0.080882,-0.596836,-0.381773,0.279105,0.018247,0.323013,-0.294862,0.196668,-0.189098,-0.241308,-0.430048,-0.362533,-0.109299,0.154230,0.003788,0.354282,0.324657,-0.313309,-0.019733,0.308893,-0.075064,-0.394830,0.326897,0.182232,0.002109,0.332836,-0.003969,0.088769,0.017874,0.021987,0.182843,0.302124,0.324261,0.020827,-0.190562,-0.013068,0.187963,0.006530,0.323512,0.292830,-0.046664,0.292117,0.297992,0.264723,-0.109353,0.427364,-0.194878,-0.066527,-0.262647,0.117016,-0.008845,-0.046019,-0.016341,-0.072071,0.032359,0.023864,0.244681,-0.106186,-0.251890,0.034308,0.214731,-0.356701,0.307195,-0.266517,0.120363,0.212377,-0.107304,0.183675,-0.012469,0.034335,0.005894,0.194528,-0.342439,-0.110303,0.002194,0.136697,0.000134,-0.343737,0.258037,0.000993,-0.065691,0.019047,-0.266727,-0.058054,0.067134,0.005750,0.046426,0.139838,-0.004264
3,10.480000,0.017330,-0.008802,-0.258697,0.055611,0.016795,0.013283,-0.288953,-0.445628,0.427755,-0.154656,-0.014062,-0.022515,-0.011454,0.176364,0.055786,-0.000481,-0.033847,-0.379420,0.312717,0.056770,0.108565,0.000246,-0.284640,-0.040924,-0.140991,0.105999,0.270439,-0.001691,0.235500,-0.185034,0.043516,-0.091715,-0.275847,-0.025780,0.221701,-0.000058,-0.026320,0.296766,-0.063232,-0.076175,-0.603102,-0.374333,0.281656,0.018779,0.326321,-0.291861,0.186490,-0.183909,-0.236879,-0.441815,-0.358920,-0.113910,0.161224,0.003838,0.348945,0.334923,-0.313948,-0.016910,0.303350,-0.072476,-0.389708,0.321558,0.183461,0.000605,0.350021,-0.004274,0.081567,0.018379,0.020954,0.184496,0.294331,0.321147,0.019873,-0.192684,-0.017552,0.177606,0.007910,0.318296,0.290481,-0.046521,0.287678,0.288988,0.262807,-0.109167,0.427694,-0.184929,-0.071010,-0.266825,0.115823,-0.008156,-0.046480,-0.014897,-0.077277,0.029251,0.021066,0.246907,-0.109284,-0.253573,0.031137,0.214496,-0.351728,0.310497,-0.256197,0.118140,0.210629,-0.100817,0.184854,-0.011621,0.031806,0.006374,0.184240,-0.344238,-0.104160,0.002621,0.133773,0.000959,-0.339632,0.262545,0.000803,-0.069024,0.027476,-0.271429,-0.056585,0.070792,0.006701,0.033602,0.142330,-0.005256
4,10.500000,0.018069,-0.008722,-0.259577,0.057620,0.020622,0.013577,-0.284504,-0.441544,0.419710,-0.155782,-0.013838,-0.023476,-0.007855,0.196712,0.054065,-0.001308,-0.039216,-0.377890,0.318208,0.056253,0.102897,0.000247,-0.269599,-0.041879,-0.148740,0.103228,0.272192,-0.002168,0.227511,-0.184991,0.042681,-0.089686,-0.275596,-0.025905,0.231575,-0.000254,-0.026728,0.296934,-0.065412,-0.078971,-0.607012,-0.366483,0.283219,0.020838,0.330968,-0.291047,0.185884,-0.181608,-0.235016,-0.443084,-0.359108,-0.111260,0.162289,0.004546,0.349684,0.333372,-0.315913,-0.019208,0.298617,-0.073495,-0.391330,0.359434,0.186046,0.000358,0.345181,-0.004264,0.089647,0.021596,0.021352,0.188562,0.300579,0.319390,0.019142,-0.193631,-0.020098,0.184490,0.007432,0.317781,0.299196,-0.043969,0.294026,0.292487,0.261801,-0.105462,0.430167,-0.190175,-0.070711,-0.264468,0.116604,-0.006715,-0.048136,-0.014606,-0.075292,0.030393,0.021234,0.245274,-0.106316,-0.252068,0.032977,0.214223,-0.352941,0.304576,-0.252628,0.110598,0.205265,-0.102387,0.186808,-0.010162,0.031702,0.007226,0.198322,-0.355226,-0.099389,0.003687,0.138635,0.003111,-0.331432,0.273200,0.000594,-0.071719,0.027520,-0.276671,-0.057168,0.074416,0.007501,0.037538,0.143780,-0.005968
5,10.520000,0.018163,-0.010217,-0.257149,0.061732,0.019673,0.014661,-0.285286,-0.436178,0.423225,-0.153187,-0.012250,-0.022791,-0.006503,0.187491,0.047841,-0.001286,-0.034293,-0.376074,0.323664,0.056410,0.106260,0.000255,-0.276103,-0.041248,-0.146054,0.094285,0.269962,-0.002201,0.225206,-0.192826,0.046155,-0.091380,-0.277173,-0.025871,0.225638,0.001985,-0.024788,0.299511,-0.060511,-0.078329,-0.608818,-0.363473,0.284484,0.022374,0.337909,-0.289103,0.197787,-0.184241,-0.241712,-0.454758,-0.369100,-0.109660,0.159835,0.004754,0.346079,0.328278,-0.320657,-0.019113,0.293146,-0.073259,-0.390802,0.369139,0.184205,0.008311,0.350499,-0.004327,0.085779,0.020488,0.019316,0.192920,0.303928,0.320774,0.018225,-0.200403,-0.017534,0.190015,0.005151,0.311359,0.299870,-0.043771,0.287205,0.291886,0.265884,-0.105979,0.435616,-0.192164,-0.069036,-0.262638,0.120572,-0.006287,-0.048029,-0.015760,-0.072058,0.034283,0.020956,0.241167,-0.108939,-0.254143,0.023947,0.215251,-0.351101,0.305323,-0.246905,0.111728,0.200173,-0.102262,0.188232,-0.010253,0.027315,0.008692,0.195803,-0.360868,-0.091961,0.004077,0.139284,0.003475,-0.332864,0.268546,0.000674,-0.072814,0.026711,-0.283320,-0.054482,0.076140,0.007660,0.044215,0.146519,-0.007291
6,10.540000,0.016413,-0.009845,-0.256699,0.062689,0.016082,0.014800,-0.287047,-0.440126,0.430537,-0.156563,-0.011829,-0.021392,-0.007144,0.170817,0.051908,-0.001584,-0.041635,-0.386743,0.331170,0.054278,0.108357,0.000250,-0.277517,-0.040908,-0.146777,0.092196,0.278913,-0.001711,0.220784,-0.184559,0.049570,-0.087647,-0.275053,-0.026018,0.220887,0.002643,-0.022500,0.301051,-0.059224,-0.073708,-0.615934,-0.366346,0.282257,0.022185,0.340734,-0.265874,0.192797,-0.179396,-0.235061,-0.444437,-0.358804,-0.108007,0.153336,0.004209,0.347633,0.326344,-0.315745,-0.017588,0.290182,-0.070965,-0.398277,0.333546,0.186155,0.008404,0.350381,-0.005060,0.102430,0.018257,0.016659,0.195104,0.301298,0.319354,0.017615,-0.201939,-0.017681,0.197105,0.004868,0.308126,0.299195,-0.040681,0.289844,0.289461,0.266064,-0.107900,0.434524,-0.187907,-0.077459,-0.260412,0.119746,-0.005512,-0.048493,-0.014801,-0.075486,0.031722,0.020762,0.237061,-0.108926,-0.240338,0.022341,0.214152,-0.348070,0.309080,-0.248372,0.105136,0.197727,-0.106873,0.183427,-0.010676,0.029764,0.008410,0.187990,-0.351669,-0.083451,0.004552,0.139211,0.006043,-0.325552,0.266561,0.000431,-0.074467,0.023887,-0.285139,-0.060420,0.073885,0.009276,0.039163,0.144968,-0.007865
7,10.560000,0.016922,-0.011236,-0.252387,0.070039,0.018054,0.014382,-0.286570,-0.438714,0.427598,-0.159292,-0.012207,-0.021236,-0.005543,0.186913,0.045358,-0.001642,-0.044903,-0.386019,0.330782,0.055465,0.108686,0.000264,-0.274701,-0.041431,-0.149894,0.083160,0.281880,-0.001944,0.218423,-0.190097,0.051016,-0.093099,-0.269959,-0.026975,0.222145,0.003881,-0.020231,0.298882,-0.058341,-0.073031,-0.618059,-0.360187,0.281424,0.023342,0.339145,-0.270088,0.197638,-0.174961,-0.232966,-0.443227,-0.366785,-0.108271,0.154371,0.004556,0.353491,0.321833,-0.318693,-0.018966,0.287081,-0.072065,-0.394404,0.342092,0.180259,0.003870,0.356727,-0.005317,0.110968,0.018804,0.016570,0.196987,0.300683,0.321057,0.016548,-0.202806,-0.011638,0.196296,0.002488,0.307015,0.297553,-0.040434,0.291649,0.289237,0.274654,-0.107589,0.434671,-0.189262,-0.074978,-0.257409,0.119913,-0.006953,-0.047738,-0.014549,-0.069211,0.039253,0.020328,0.233760,-0.109817,-0.245189,0.023999,0.210266,-0.348907,0.309679,-0.249392,0.104110,0.196893,-0.111244,0.184840,-0.010070,0.029409,0.008775,0.196787,-0.353871,-0.071933,0.005432,0.139165,0.006844,-0.331380,0.268530,0.001011,-0.074410,0.026232,-0.288711,-0.063490,0.073492,0.010393,0.041026,0.145260,-0.008039
8,10.580000,0.016555,-0.011119,-0.253069,0.072281,0.016429,0.015031,-0.286461,-0.442031,0.426747,-0.158398,-0.011884,-0.020190,-0.006680,0.184319,0.043237,-0.002086,-0.049056,-0.392472,0.333261,0.053890,0.109040,0.000266,-0.278296,-0.040570,-0.155026,0.085066,0.284203,-0.001872,0.215684,-0.186364,0.054368,-0.092845,-0.265520,-0.026488,0.217480,0.003302,-0.023478,0.299951,-0.058595,-0.072240,-0.622700,-0.357737,0.282335,0.024100,0.344772,-0.265702,0.196217,-0.176932,-0.243420,-0.446735,-0.364602,-0.110534,0.154558,0.004460,0.354216,0.323085,-0.317727,-0.020524,0.288869,-0.073272,-0.397090,0.333785,0.180264,-0.000052,0.356085,-0.005718,0.115191,0.018812,0.014982,0.198824,0.299727,0.321284,0.015698,-0.202751,-0.014233,0.205059,0.001040,0.310683,0.292504,-0.039909,0.291880,0.288551,0.278051,-0.110375,0.433099,-0.186053,-0.076481,-0.261216,0.121288,-0.006581,-0.048162,-0.014242,-0.069920,0.040590,0.018532,0.232616,-0.113483,-0.235587,0.018845,0.213829,-0.350656,0.317244,-0.252191,0.105378,0.193515,-0.117163,0.182647,-0.010126,0.030978,0.008609,0.193748,-0.350852,-0.062772,0.006090,0.145493,0.006082,-0.327688,0.269717,0.001171,-0.076726,0.029148,-0.289963,-0.069321,0.071574,0.012475,0.037535,0.144796,-0.008634
9,10.600000,0.015441,-0.011200,-0.247935,0.074664,0.013392,0.014305,-0.287201,-0.446034,0.429439,-0.158363,-0.012597,-0.019527,-0.007173,0.169570,0.040422,-0.002135,-0.045694,-0.394373,0.332292,0.053140,0.108936,0.000254,-0.280000,-0.040506,-0.154223,0.078633,0.285575,-0.001565,0.217820,-0.183426,0.054748,-0.092973,-0.264222,-0.025852,0.215463,0.003702,-0.022089,0.297985,-0.056816,-0.067751,-0.626022,-0.357619,0.279660,0.023874,0.341791,-0.261921,0.189190,-0.176587,-0.234108,-0.446138,-0.366317,-0.114622,0.155009,0.004144,0.356649,0.321137,-0.317331,-0.018482,0.285858,-0.071525,-0.401611,0.310389,0.174294,0.000293,0.359157,-0.005756,0.114919,0.017468,0.013412,0.198745,0.293643,0.322731,0.014650,-0.203616,-0.012458,0.207059,-0.000867,0.307560,0.289870,-0.038714,0.292539,0.284427,0.279596,-0.112336,0.435790,-0.181836,-0.077082,-0.257764,0.120583,-0.007167,-0.047530,-0.013775,-0.065752,0.043280,0.020336,0.227216,-0.113676,-0.232093,0.019550,0.211164,-0.349891,0.325451,-0.251370,0.102313,0.190680,-0.121062,0.182777,-0.010381,0.037814,0.008059,0.187190,-0.352126,-0.055414,0.006553,0.145453,0.005796,-0.327208,0.267968,0.001856,-0.075975,0.038881,-0.291757,-0.071563,0.070747,0.012403,0.034946,0.145206,-0.009288
10,10.620000,0.015111,-0.011118,-0.243361,0.074058,0.013673,0.014353,-0.284558,-0.445525,0.429411,-0.159965,-0.013606,-0.019280,-0.008423,0.171921,0.040131,-0.002142,-0.045712,-0.394766,0.333020,0.052369,0.107885,0.000242,-0.278115,-0.040595,-0.152845,0.078904,0.284569,-0.001536,0.220146,-0.181216,0.053966,-0.092879,-0.265295,-0.026309,0.215345,0.003721,-0.022064,0.297454,-0.056056,-0.066968,-0.629593,-0.357674,0.279397,0.024233,0.340049,-0.261538,0.189799,-0.173619,-0.232927,-0.443000,-0.367715,-0.116217,0.156904,0.004141,0.361520,0.320076,-0.319798,-0.018638,0.284148,-0.071928,-0.401932,0.306952,0.175393,-0.000670,0.364993,-0.005849,0.114783,0.017442,0.012409,0.200695,0.294923,0.324307,0.013510,-0.203048,-0.011836,0.208111,-0.001829,0.306427,0.286420,-0.038611,0.294863,0.286052,0.278421,-0.113495,0.436300,-0.181338,-0.075339,-0.259343,0.118468,-0.007792,-0.047505,-0.013910,-0.068787,0.044674,0.020889,0.226440,-0.114553,-0.234727,0.020791,0.212046,-0.352932,0.329197,-0.251471,0.102037,0.188376,-0.126050,0.182405,-0.010350,0.040018,0.007919,0.184876,-0.351993,-0.049763,0.006825,0.147354,0.004901,-0.329849,0.267659,0.002224,-0.076769,0.042153,-0.292877,-0.070131,0.071193,0.012661,0.032678,0.143489,-0.009299
