inference_index,sim_time,policy_id,cmd_x,cmd_y,cmd_yaw
1,10.440000,3,-0.000000,-0.000000,-0.000000
2,10.460000,3,-0.000000,-0.000000,-0.000000
3,10.480000,3,-0.000000,-0.000000,-0.000000
4,10.500000,3,-0.000000,-0.000000,-0.000000
5,10.520000,3,-0.000000,-0.000000,-0.000000
6,10.540000,3,-0.000000,-0.000000,-0.000000
7,10.560000,3,-0.000000,-0.000000,-0.000000
8,10.580000,3,-0.000000,-0.000000,-0.000000
9,10.600000,3,-0.000000,-0.000000,-0.000000
10,10.620000,3,-0.000000,-0.000000,-0.000000
11,10.640000,3,-0.000000,-0.000000,-0.000000
12,10.660000,3,-0.000000,-0.000000,-0.000000
13,10.680000,3,-0.000000,-0.000000,-0.000000
14,10.700000,3,-0.000000,-0.000000,-0.000000
15,10.720000,3,-0.000000,-0.000000,-0.000000
16,10.740000,3,-0.000000,-0.000000,-0.000000
17,10.760000,3,-0.000000,-0.000000,-0.000000
18,10.780000,3,-0.000000,-0.000000,-0.000000
19,10.800000,3,-0.000000,-0.000000,-0.000000
20,10.820000,3,-0.000000,-0.000000,-0.000000
21,10.840000,3,-0.000000,-0.000000,-0.000000
22,10.860000,3,-0.000000,-0.000000,-0.000000
23,10.880000,3,-0.000000,-0.000000,-0.000000
24,10.900000,3,-0.000000,-0.000000,-0.000000
25,10.920000,3,-0.000000,-0.000000,-0.000000
26,10.940000,3,-0.000000,-0.000000,-0.000000
27,10.960000,3,-0.000000,-0.000000,-0.000000
28,10.980000,3,-0.000000,-0.000000,-0.000000
29,11.000000,3,-0.000000,-0.000000,-0.000000
30,11.020000,3,-0.000000,-0.000000,-0.000000
31,11.040000,3,-0.000000,-0.000000,-0.000000
32,11.060000,3,-0.000000,-0.000000,-0.000000
33,11.080000,3,-0.000000,-0.000000,-0.000000
34,11.100000,3,-0.000000,-0.000000,-0.000000
35,11.120000,3,-0.000000,-0.000000,-0.000000
36,11.140000,3,-0.000000,-0.000000,-0.000000
37,11.160000,3,-0.000000,-0.000000,-0.000000
38,11.180000,3,-0.000000,-0.000000,-0.000000
39,11.200000,3,-0.000000,-0.000000,-0.000000
40,11.220000,3,-0.000000,-0.000000,-0.000000
41,11.240000,3,-0.000000,-0.000000,-0.000000
42,11.260000,3,-0.000000,-0.000000,-0.000000
43,11.280000,3,-0.000000,-0.000000,-0.000000
44,11.300000,3,-0.000000,-0.000000,-0.000000
45,11.320000,3,-0.000000,-0.000000,-0.000000
46,11.340000,3,-0.000000,-0.000000,-0.000000
47,11.360000,3,-0.000000,-0.000000,-0.000000
48,11.380000,3,-0.000000,-0.000000,-0.000000
49,11.400000,3,0.052644,-0.003784,-0.000000
50,11.420000,3,0.145329,-0.017823,-0.000000
51,11.440000,3,0.240089,-0.044374,-0.000000
52,11.460000,3,0.342570,-0.086795,-0.000000
53,11.480000,3,0.434065,-0.117801,-0.000000
54,11.500000,3,0.552660,-0.129856,-0.000000
55,11.520000,3,0.753105,-0.112033,-0.000000
56,11.540000,3,0.969054,-0.048799,-0.000000
57,11.560000,3,1.000000,-0.015290,-0.000000
58,11.580000,3,1.000000,-0.010041,-0.000000
59,11.600000,3,1.000000,-0.009949,-0.000000
60,11.620000,3,1.000000,-0.011567,-0.000000
61,11.640000,3,1.000000,-0.018921,-0.000000
62,11.660000,3,1.000000,-0.020875,-0.000000
63,11.680000,3,1.000000,-0.022034,-0.000000
64,11.700000,3,1.000000,-0.022034,-0.000000
65,11.720000,3,1.000000,-0.022034,-0.000000
66,11.740000,3,1.000000,-0.022034,-0.000000
67,11.760000,3,1.000000,-0.022553,-0.000000
68,11.780000,3,1.000000,-0.022858,-0.000000
69,11.800000,3,1.000000,-0.022858,-0.000000
70,11.820000,3,1.000000,-0.022553,-0.000000
71,11.840000,3,1.000000,-0.022706,-0.000000
72,11.860000,3,1.000000,-0.022858,-0.000000
73,11.880000,3,1.000000,-0.022858,-0.000000
74,11.900000,3,1.000000,-0.022858,-0.000000
75,11.920000,3,1.000000,-0.043580,-0.000000
76,11.940000,3,1.000000,-0.070589,-0.000000
77,11.960000,3,1.000000,-0.096286,-0.000000
78,11.980000,3,1.000000,-0.112308,-0.000000
79,12.000000,3,1.000000,-0.116520,-0.000000
80,12.020000,3,1.000000,-0.121891,-0.000000
81,12.040000,3,1.000000,-0.131748,-0.000000
82,12.060000,3,1.000000,-0.150731,-0.000000
83,12.080000,3,1.000000,-0.175146,-0.000000
84,12.100000,3,1.000000,-0.186316,-0.000000
85,12.120000,3,0.990234,-0.187567,-0.000000
86,12.140000,3,0.972442,-0.187567,-0.000000
87,12.160000,3,0.953764,-0.187231,-0.000000
88,12.180000,3,0.936277,-0.187811,-0.000000
89,12.200000,3,0.912961,-0.187719,-0.000000
90,12.220000,3,0.867244,-0.185980,-0.000000
91,12.240000,3,0.785974,-0.183355,-0.000000
92,12.260000,3,0.708060,-0.180151,-0.000000
93,12.280000,3,0.616230,-0.176000,-0.000000
94,12.300000,3,0.416639,-0.162877,-0.000000
95,12.320000,3,0.066897,-0.036561,-0.000000
96,12.340000,3,-0.000000,-0.000000,-0.000000
97,12.360000,3,-0.000000,-0.000000,-0.000000
98,12.380000,3,-0.000000,-0.000000,-0.000000
99,12.400000,3,-0.000000,-0.000000,-0.000000
100,12.420000,3,-0.000000,-0.000000,-0.000000
101,12.440000,3,-0.000000,-0.000000,-0.000000
102,12.460000,3,-0.000000,-0.000000,-0.000000
103,12.480000,3,-0.000000,-0.000000,-0.000000
104,12.500000,3,-0.000000,-0.000000,-0.000000
105,12.520000,3,-0.000000,-0.000000,-0.000000
106,12.540000,3,-0.000000,-0.000000,-0.000000
107,12.560000,3,-0.000000,-0.000000,-0.000000
108,12.580000,3,-0.000000,-0.000000,-0.000000
109,12.600000,3,-0.000000,-0.000000,-0.006684
110,12.620000,3,-0.000000,-0.000000,-0.110645
111,12.640000,3,-0.000000,-0.000000,-0.276040
112,12.660000,3,-0.000000,-0.000000,-0.377346
113,12.680000,3,-0.000000,-0.000000,-0.504196
114,12.700000,3,-0.000000,-0.000000,-0.571764
115,12.720000,3,-0.000000,-0.000000,-0.590625
116,12.740000,3,-0.000000,-0.000000,-0.597171
117,12.760000,3,-0.000000,-0.000000,-0.599185
118,12.780000,3,-0.000000,-0.000000,-0.600742
119,12.800000,3,-0.000000,-0.000000,-0.600742
120,12.820000,3,-0.000000,-0.000000,-0.601794
121,12.840000,3,-0.000000,-0.000000,-0.601382
122,12.860000,3,-0.000000,-0.000000,-0.582018
123,12.880000,3,-0.000000,-0.000000,-0.557482
124,12.900000,3,-0.000000,-0.000000,-0.520997
125,12.920000,3,-0.000000,-0.000000,-0.482864
126,12.940000,3,-0.000000,-0.000000,-0.430082
127,12.960000,3,-0.000000,-0.000000,-0.388195
128,12.980000,3,-0.000000,-0.000000,-0.362377
129,13.000000,3,-0.000000,-0.000000,-0.337840
130,13.020000,3,-0.000000,-0.000000,-0.316095
131,13.040000,3,-0.000000,-0.000000,-0.270867
132,13.060000,3,-0.000000,-0.000000,-0.218177
133,13.080000,3,-0.000000,-0.000000,-0.169378
134,13.100000,3,-0.000000,-0.000000,-0.092975
135,13.120000,3,-0.000000,-0.000000,-0.009247
136,13.140000,3,-0.000000,-0.000000,-0.000000
137,13.160000,3,-0.000000,-0.000000,-0.000000
138,13.180000,3,-0.000000,-0.000000,-0.000000
139,13.200000,3,-0.000000,-0.000000,-0.000000
140,13.220000,3,-0.000000,-0.000000,-0.000000
141,13.240000,3,-0.000000,-0.000000,-0.000000
142,13.260000,3,-0.000000,-0.000000,-0.000000
143,13.280000,3,-0.000000,-0.000000,-0.000000
144,13.300000,3,-0.000000,-0.000000,-0.000000
145,13.320000,3,-0.000000,-0.000000,-0.000000
146,13.340000,3,-0.000000,-0.000000,-0.000000
147,13.360000,3,-0.000000,-0.000000,-0.000000
148,13.380000,3,-0.000000,-0.000000,-0.000000
149,13.400000,3,-0.000000,-0.000000,-0.000000
150,13.420000,3,-0.000000,-0.000000,-0.000000
151,13.440000,3,-0.000000,-0.000000,-0.000000
152,13.460000,3,-0.000000,-0.000000,-0.000000
