inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
644,10.980000,0.003995,1.232982,-0.683747,-0.094657,0.972710,-0.731043,0.051412,0.494721,-1.337191,-0.584760,1.131068,-0.537048,1.182289,0.433893,0.537203,0.902046
645,11.000000,-0.049279,1.180324,-0.600337,-0.223374,0.939821,-0.892266,0.019320,0.469538,-1.543096,-0.568310,1.099661,-0.758725,0.957748,0.439444,0.576147,1.046238
646,11.020000,-0.140755,1.104638,-0.626335,-0.282816,0.879058,-1.087326,-0.008667,0.504663,-1.629076,-0.505386,1.092146,-1.061682,0.904696,0.448039,0.642168,1.109018
647,11.040000,-0.222898,1.113464,-0.424614,-0.342233,0.887504,-1.278157,0.044615,0.545578,-1.643167,-0.580335,1.115156,-1.021982,1.032374,0.448948,0.812060,1.111552
648,11.060000,-0.258264,1.127882,-0.358726,-0.416157,0.847175,-1.433619,0.042427,0.593708,-1.695984,-0.560841,1.156041,-1.124869,1.213641,0.469862,1.030675,1.067151
649,11.080000,-0.372794,1.127776,-0.360640,-0.312122,0.938091,-1.612170,-0.037537,0.641651,-1.654010,-0.692372,1.149200,-1.129594,1.255905,0.542129,1.109244,1.059096
650,11.100000,-0.375377,1.258000,-0.269942,-0.330954,1.020738,-1.528259,0.079858,0.697762,-1.590161,-0.810310,1.277415,-1.013461,1.396174,0.673686,1.189816,1.176698
651,11.120000,-0.392839,1.327642,-0.237891,-0.353811,1.048306,-1.577067,0.115250,0.744706,-1.543431,-0.929767,1.355070,-0.951201,1.585753,0.738549,1.252368,1.244852
652,11.140000,-0.455330,1.339402,-0.400560,-0.285097,1.086303,-1.619456,0.068782,0.769098,-1.456951,-1.063338,1.282501,-0.992360,1.615982,0.691191,1.207821,1.211822
653,11.160000,-0.430410,1.407211,-0.463499,-0.266656,1.160037,-1.544935,0.096434,0.831336,-1.412074,-1.152085,1.374422,-0.812442,1.739046,0.718929,1.194684,1.281022
654,11.180000,-0.436650,1.460467,-0.535641,-0.227611,1.190375,-1.573688,0.107001,0.854412,-1.343285,-1.304724,1.423664,-0.621031,1.849810,0.722032,1.155833,1.299177
655,11.200000,-0.465554,1.433383,-0.783045,-0.112615,1.258826,-1.617142,0.032259,0.887699,-1.345949,-1.351992,1.438566,-0.540462,1.880353,0.716777,1.066345,1.352623
656,11.220000,-0.481898,1.525346,-0.750694,-0.127529,1.261537,-1.626388,0.038726,0.931341,-1.318904,-1.416985,1.434218,-0.356512,1.982567,0.688921,1.112557,1.300468
657,11.240000,-0.501700,1.530231,-0.826511,-0.074242,1.295846,-1.627243,-0.020407,0.943371,-1.337629,-1.408966,1.453933,-0.330474,2.009969,0.691782,1.071922,1.300722
658,11.260000,-0.534286,1.595401,-0.804751,-0.083457,1.320552,-1.620038,0.006229,0.990541,-1.260734,-1.397569,1.433690,-0.245250,2.042348,0.680280,1.091325,1.319293
659,11.280000,-0.542435,1.595122,-0.882207,-0.026321,1.361929,-1.626191,-0.051969,0.973894,-1.268134,-1.385560,1.452506,-0.266554,1.970239,0.680432,1.001531,1.379175
660,11.300000,-0.544388,1.615080,-0.799710,-0.068926,1.346287,-1.681522,-0.038087,0.982187,-1.237498,-1.382696,1.426365,-0.206661,1.890301,0.683957,0.952081,1.394681
661,11.320000,-0.557775,1.646287,-0.669235,-0.116298,1.316293,-1.664665,-0.007962,0.992298,-1.191873,-1.327952,1.387699,-0.223642,1.922137,0.645433,0.965263,1.290898
662,11.340000,-0.557615,1.663892,-0.641101,-0.083728,1.338537,-1.711386,0.005328,0.993701,-1.128200,-1.340549,1.355725,-0.251734,1.904194,0.593128,0.928170,1.253590
663,11.360000,-0.498066,1.642905,-0.612131,-0.143211,1.264963,-1.651881,0.013423,0.935089,-1.080304,-1.337077,1.302513,-0.317109,1.726967,0.518320,0.786055,1.135705
664,11.380000,-0.435918,1.552405,-0.593223,-0.207435,1.173515,-1.617834,-0.042375,0.859913,-1.168587,-1.158390,1.175614,-0.526302,1.458148,0.399157,0.593281,0.945690
665,11.400000,-0.406429,1.549782,-0.574808,-0.169975,1.179862,-1.565219,-0.076340,0.792362,-1.198531,-1.098906,1.098405,-0.632778,1.204220,0.303291,0.419002,0.845176
666,11.420000,-0.379000,1.538355,-0.528959,-0.190945,1.154410,-1.502599,-0.082165,0.751045,-1.254028,-0.985703,1.052560,-0.731268,1.070663,0.311616,0.374101,0.866080
667,11.440000,-0.381563,1.503771,-0.532019,-0.171496,1.131225,-1.506160,-0.119208,0.729962,-1.305251,-0.874412,1.008360,-0.814546,1.015410,0.325613,0.382235,0.886406
668,11.460000,-0.402388,1.502092,-0.584040,-0.129932,1.131205,-1.500453,-0.120434,0.723881,-1.310937,-0.822020,0.976781,-0.827456,1.000990,0.367690,0.416178,0.934799
669,11.480000,-0.412929,1.500275,-0.656729,-0.088235,1.113866,-1.523044,-0.111520,0.724696,-1.311632,-0.772831,0.974582,-0.806744,1.011364,0.404146,0.461269,0.943130
670,11.500000,-0.443325,1.515187,-0.708356,-0.044008,1.125751,-1.574710,-0.109669,0.754233,-1.303111,-0.728036,0.966595,-0.737163,1.102036,0.449678,0.593383,0.947545
671,11.520000,-0.449693,1.514410,-0.748059,-0.005722,1.126701,-1.580347,-0.084448,0.779936,-1.231392,-0.741095,0.965327,-0.640674,1.185844,0.486047,0.655638,0.927492
672,11.540000,-0.448515,1.547746,-0.787908,0.032501,1.138148,-1.571139,-0.051667,0.791149,-1.162228,-0.758585,0.964396,-0.555194,1.226630,0.509706,0.651434,0.878687
673,11.560000,-0.416603,1.564121,-0.808621,0.057661,1.155363,-1.514031,-0.031898,0.794358,-1.072834,-0.779074,0.967076,-0.503266,1.230247,0.547989,0.580903,0.902506
674,11.580000,-0.418137,1.555931,-0.857132,0.090638,1.152321,-1.485131,-0.039909,0.786962,-1.056263,-0.732663,0.958093,-0.511418,1.235855,0.581227,0.516460,0.907361
675,11.600000,-0.392270,1.610087,-0.783435,0.084019,1.157974,-1.403884,-0.006646,0.780711,-0.993137,-0.752217,0.936755,-0.438477,1.244607,0.592232,0.465294,0.927671
676,11.620000,-0.379516,1.629601,-0.772799,0.100689,1.152773,-1.374895,0.003222,0.769889,-0.963738,-0.733296,0.926292,-0.419732,1.242570,0.612979,0.407345,0.928974
